句子编号,情感极性,情感类型,情感强度,情感关键词,Intensity_norm,Intensity_polarized,Polarity_num,Emotional Types,Neutral_Polarity,Positive_Polarity,Negative_Polarity,小说编号
1,负,戏谑,4,多多、查理、减肥、肥膘,0.375,-0.375,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
2,负,无奈,3,多多、虎鲨、查理、跟班,0.25,-0.25,2.0,Disap,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
3,正,好奇,5,查理、展台、文物,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
4,正,骄傲,4,查理、尊贵血统、查理九世,0.375,0.375,1.0,Pri,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
5,中,抱怨,3,多多、查理、落后,0.25,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
6,正,满意,4,查理、龇牙笑,0.375,0.375,1.0,Sat,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
7,正,耐心,5,查理、悖论、讲解,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
8,中,平常,2,多多、查理、推门,0.125,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
9,正,轻松,3,查理、抖衣服、跟上,0.25,0.25,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
10,正,专注,5,查理、耳朵、展柜,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
11,正,机智,6,多多、悖论、摆脱,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
12,中,思考,4,查理、凝脸、若有所思,0.375,0.0,0.0,Calm,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
13,中,调皮,3,虎鲨、婷婷、扶幽、屁股,0.25,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
14,正,警觉,5,查理、太阳圆盘、吠叫,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
15,中,着急,4,多多、反驳、挤人群,0.375,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
16,正,应和,3,查理、吠叫,0.25,0.25,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
17,负,恐惧,7,小伙伴、魔神、畏惧,0.75,-0.75,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
18,负,虚弱,6,查理、有气无力、软趴趴,0.625,-0.625,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
19,正,放松,4,小伙伴、松口气、舔手,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
20,正,好奇,5,多多、雪莉、救人,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
21,负,无奈,4,多多、咬牙、模仿声音,0.375,-0.375,2.0,Disap,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
22,负,不满,5,婷婷、教训、多多,0.5,-0.5,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
23,正,疑惑,5,查理、首饰盒、说谎,0.5,0.5,1.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
24,正,狡黠,6,查理、眼中闪光、笑,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
25,正,惊讶,6,扶幽、查理、追踪器,0.625,0.625,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
26,正,得意,6,查理、晃脑袋、得意扬扬,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
27,负,怀疑,5,多多、英雄、自以为是,0.5,-0.5,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
28,正,坚定,5,虎鲨、嫉恶如仇、跟着查理,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
