句子编号,情感极性,情感类型,情感强度,情感关键词,Intensity_norm,Intensity_polarized,Polarity_num,Emotional Types,Neutral_Polarity,Positive_Polarity,Negative_Polarity,小说编号
1,正,好奇,6,黑街，热闹，古埃及文物展览,0.625,0.625,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
2,正,欢乐,8,兴致勃勃，流连于各个展柜之间,0.875,0.875,1.0,Joy,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
3,负,抱怨,5,苦着脸，蹙起了眉,0.5,-0.5,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
4,负,愤怒,6,查理，你该减肥了,0.625,-0.625,2.0,Ang,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
5,负,惊讶,5,小霸王虎鲨成了查理的跟班,0.5,-0.5,2.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
6,正,欣赏,5,转动脑袋，兴趣浓浓地欣赏着,0.5,0.5,1.0,Tru,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
7,负,失落,6,多多很快落后了,0.625,-0.625,2.0,Disap,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
8,负,焦虑,7,糟了，婷婷他们去哪儿了,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
9,中,疑惑,5,你问我吗？我只知道一件事，那就是什么都不知道,0.5,0.0,0.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
10,负,失望,6,这话等于没说,0.625,-0.625,2.0,Disap,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
11,负,惊讶,6,悖论？多多一愣,0.625,-0.625,2.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
12,负,愤怒,6,我管它叫诡辩,0.625,-0.625,2.0,Ang,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
13,正,好奇,7,这扇小门吸引了多多的目光,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
14,正,好奇,7,铭牌发出奇异的光芒,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
15,正,平静,5,查理轻巧地跳下地，抖了抖身上被挤皱成一团的小服,0.5,0.5,1.0,Calm,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
16,正,好奇,6,这是一间小展厅，里面空荡荡的,0.625,0.625,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
17,正,惊讶,7,四个罐子的大小跟多多的头差不多大,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
18,负,诡异,6,有种说不出的古怪,0.625,-0.625,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
19,负,恐惧,6,目光似乎老在自己身上打转,0.625,-0.625,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
20,负,惊讶,7,这个里面装的就是法老王的内脏啊,0.75,-0.75,2.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
21,负,恐惧,8,难道是法老王的灵魂在作祟,0.875,-0.875,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
22,正,惊讶,7,少女看起来比多多大四五岁,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
23,正,惊讶,8,像从埃及壁画中跑出来的人物一样,0.875,0.875,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
24,负,疑惑,6,少女眉目间流露出惊慌的神色,0.625,-0.625,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
25,负,紧张,7,一阵强烈的不安像蛀虫一样钻入了他的心窝,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
26,负,恐惧,7,不自觉地往后退了两步,0.75,-0.75,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
27,负,紧张,7,当头的木乃伊以某种极其不协调的肢体动作扭曲着加快脚步,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
28,负,恐惧,8,一个低闷的声音，像是从什么匣子里憋出来似的,0.875,-0.875,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
29,负,恐惧,8,喉咙一紧，僵住了,0.875,-0.875,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
30,负,紧张,7,勉强听懂了，他们在找那个柜台底下的埃及少女,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
31,负,焦虑,6,墨多多用手抹了一下自己额头上黏糊糊的汗水,0.625,-0.625,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
32,正,冷静,7,小心翼翼地说：我看过她,0.75,0.75,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
33,正,放松,5,看到木乃伊们远去，松了一口气,0.5,0.5,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
34,正,感激,6,少女想了想，从袍里拿出一个双蛇形的古董首饰盒,0.625,0.625,1.0,Grat,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
35,正,好奇,7,智慧勇敢的英雄啊！求求你,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
36,正,决心,6,我答应了,0.625,0.625,1.0,Hop,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
37,正,感激,7,微微的光芒从她眼中一闪而过,0.75,0.75,1.0,Grat,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
38,负,害羞,6,臊得满脸通红,0.625,-0.625,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
39,正,惊讶,7,咦，是你们啊！,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
40,正,惊讶,7,多多，刚才这里是怎么回事,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
41,负,尴尬,5,多多咧着嘴巴，哦，你是说那些木乃伊,0.5,-0.5,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
42,负,尴尬,5,互相交换了一个受不了的眼神,0.5,-0.5,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
43,正,骄傲,7,我是被挤过来的，不过这里惊喜连连,0.75,0.75,1.0,Pri,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
44,正,兴奋,8,加油添醋地说了一遍,0.875,0.875,1.0,Joy,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
45,中,疑惑,5,扶幽伸手摸了摸多多的额头,0.5,0.0,0.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
46,正,骄傲,7,骄傲地拿出了那只双蛇形的古董首饰盒,0.75,0.75,1.0,Pri,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
47,正,好奇,7,哇！我要看，我要看，美女留下的首饰盒,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
48,负,沮丧,6,郁闷地蹲在地上,0.625,-0.625,2.0,Disap,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
49,负,嘲笑,5,糟了！多多，我看你已经被迷住了,0.5,-0.5,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
50,负,愤怒,6,虎鲨干脆拉着婷婷扶幽，还有查理，三人一狗围作一团,0.625,-0.625,2.0,Ang,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
51,正,好奇,7,是不是发现什么了？,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
52,正,好奇,7,婷婷皱起一双秀气的眉毛，快速地思考着这些疑点,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
53,正,提醒,6,如果碰到身上缠的布条泛脏兮兮的木乃伊工作人员，最好是避开,0.625,0.625,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
54,正,好奇,7,请问，您看过一个穿得像壁画里面一样的埃及少女吗,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
55,负,焦虑,7,多多没空反驳他，背着查理又挤进人群,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
56,负,疲惫,6,一屁股坐在地板上，揉着有些酸软的双腿,0.625,-0.625,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
57,正,好奇,8,这个小小的古董首饰盒里面，竟然暗藏了这样精致复杂的机关,0.875,0.875,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
58,正,好奇,8,这扇古埃及法老王的墓门里面，又装着什么样的东西呢,0.875,0.875,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
59,负,担心,7,要不要打开着看？,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
60,负,担心,7,迟疑道：不！我们我们还是不要打开它,0.75,-0.75,2.0,Anx,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
61,负,怀疑,6,什么啊！什么称量人的心脏，你竟然相信世界上有这种传说中的东西,0.625,-0.625,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
62,正,决心,7,既然这是埃及少女的求救信号，说不定她现在很危险,0.75,0.75,1.0,Hop,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
63,正,决心,7,大家决定一起破解古董首饰盒上的天秤机关,0.75,0.75,1.0,Hop,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
64,正,骄傲,6,我来试试？扶幽跃跃欲试,0.625,0.625,1.0,Pri,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
65,负,恐惧,9,只听喀的一声轻响，墓门机关打开了！,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
66,负,恐惧,9,一团巨大的黑色烟雾夹杂着一股不明的香气扑面而来,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
67,负,恐惧,9,狐狼头的魔神脸上带着诡异的笑容,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
68,负,恐惧,9,魔神的目光，似乎能透过他的手掌，将他的胸口狠狠划开,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
69,负,恐惧,9,地狱看门人阿努比斯，它会将你的心脏和羽毛一起放在天秤上称量,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
70,负,恐惧,9,魔神的手间滴滴答答地淌着血水，它毫不怜悯人类的痛楚,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
71,负,悲伤,9,尖叫，痛苦，挣扎,1.0,-1.0,2.0,Sad,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
72,负,恐惧,9,倾斜，下地狱，心脏,1.0,-1.0,2.0,Fear,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
73,负,悲伤,9,哭叫，无助，挣扎,1.0,-1.0,2.0,Sad,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
74,正,惊讶,8,黑影，埃及少女,0.875,0.875,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
75,正,感激,8,埃及少女，蹲下,0.875,0.875,1.0,Grat,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
76,负,担忧,7,一动不动，失去生命力,0.75,-0.75,2.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
77,正,惊讶,8,完好无损,0.875,0.875,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
78,正,担忧,7,迟疑，伸出手,0.75,0.75,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
79,正,放松,6,松了一口气,0.625,0.625,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
80,正,希望,7,醒醒，墨多多,0.75,0.75,1.0,Hop,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
81,正,惊讶,7,茫然，活生生,0.75,0.75,1.0,Surp,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
82,正,惊喜,8,没事，太好了,0.875,0.875,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
83,正,骄傲,7,打不死的小强,0.75,0.75,1.0,Pri,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
84,正,欣慰,6,偷偷抹了一下眼泪,0.625,0.625,1.0,Tru,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
85,正,轻松,6,揉了揉胸口,0.625,0.625,1.0,,0.0052562417871222,0.4296977660972405,0.5650459921156373,B18
